Date,Cell_ID,Layer,Month,Pred_Total_DataVol_GB,Pred_LTE_Avg_RRC_CU,Pred_LTE_Cell_THP_DL_Mbps,Pred_LTE_PrbUtil_DL_pct
2024-07-01,DK0001A,L1800,7,23.848759203158153,113.8085128320176,7.349556447149834,53.35352852638801
2024-07-01,DK0001A,L2600,7,27.850255958660586,150.27205646128013,6.1908384540253545,61.8406525012778
2024-07-01,DK0001A,L800,7,17.823048897432848,65.3200335013227,9.051143653630529,40.991797870166664
2024-07-01,DK0001B,L1800,7,23.880523163976132,113.62061629769208,7.345159761863182,53.382352324657575
2024-07-01,DK0001B,L2600,7,27.86087728005657,150.46668952803114,6.188212746619351,61.80939491725813
2024-07-01,DK0001B,L800,7,17.83713251815541,65.01702635007926,9.007468775740978,40.862463576203176
2024-07-01,DK0001C,L1800,7,23.88951569505707,113.68515133782901,7.345533655605335,53.273520211737925
2024-07-01,DK0001C,L2600,7,27.825875570369295,150.18150424982255,6.148980829721748,61.86097166097132
2024-07-01,DK0001C,L800,7,17.891962331388644,65.1029886124887,9.013676566086874,41.023136182059204
2024-07-01,DK0002A,L1800,7,23.90678119192907,113.51754087479092,7.355832379317215,53.18807967228287
2024-07-01,DK0002A,L2600,7,27.939661083766747,150.4019763471062,6.191785159458508,62.274505196663185
2024-07-01,DK0002A,L800,7,17.865782295426992,65.03189459858476,8.979362927113028,41.04523218281727
2024-07-01,DK0002B,L1800,7,23.78475940565966,113.45366732997918,7.3355455052568495,53.25909264643463
2024-07-01,DK0002B,L2600,7,27.925323908194688,150.1785128768918,6.152321526050802,61.96181413809798
2024-07-01,DK0002B,L800,7,17.850647299545315,65.32839646386395,9.010773964583155,41.027337931492376
2024-07-01,DK0002C,L1800,7,23.905117805558643,113.8747609603501,7.368456476193668,53.46571194850227
2024-07-01,DK0002C,L2600,7,27.897810646434436,150.39533398950326,6.168049794922553,62.046830644173994
2024-07-01,DK0002C,L800,7,17.88565852301581,65.01154911035746,8.976521135473288,40.844966075341596
